Date,Order ID,Product Name,Category,Quantity Sold,Unit Price,Total Sales,Customer ID,Sales Channel
2/24/2024,ORD1049,Headphones,Electronics,3,100,300,CUST431,Online
1/19/2024,ORD1050,Pen Set,Stationery,1,5,5,CUST350,Online
2/10/2024,ORD1051,Headphones,Electronics,4,100,400,CUST497,Online
1/2/2024,ORD1052,Desk Chair,Furniture,1,150,150,CUST493,In-Store
2/14/2024,ORD1053,Desk Chair,Furniture,2,150,300,CUST333,In-Store
1/13/2024,ORD1054,Backpack,Accessories,3,50,150,CUST442,In-Store
1/20/2024,ORD1055,Coffee Maker,Appliances,2,120,240,CUST101,In-Store
1/5/2024,ORD1056,Notebook,Stationery,2,10,20,CUST101,In-Store
1/16/2024,ORD1057,Notebook,Stationery,4,10,40,CUST333,Online
1/30/2024,ORD1058,Notebook,Stationery,5,10,50,CUST320,In-Store
1/26/2024,ORD1059,Pen Set,Stationery,2,5,10,CUST275,Online
1/30/2024,ORD1060,Office Desk,Furniture,5,300,1500,CUST393,Online
1/26/2024,ORD1061,Notebook,Stationery,2,10,20,CUST223,Online
1/3/2024,ORD1062,Notebook,Stationery,1,10,10,CUST123,Online
1/25/2024,ORD1063,Laptop,Electronics,3,800,2400,CUST459,In-Store
2/16/2024,ORD1064,Headphones,Electronics,2,100,200,CUST127,Online
2/11/2024,ORD1065,Coffee Maker,Appliances,5,120,600,CUST357,Online
1/19/2024,ORD1066,Laptop,Electronics,3,800,2400,CUST265,In-Store
1/16/2024,ORD1067,Backpack,Accessories,5,50,250,CUST469,In-Store
2/7/2024,ORD1068,Office Desk,Furniture,3,300,900,CUST106,In-Store
1/19/2024,ORD1069,Notebook,Stationery,1,10,10,CUST269,In-Store
2/19/2024,ORD1070,Headphones,Electronics,2,100,200,CUST287,Online
2/17/2024,ORD1071,Notebook,Stationery,1,10,10,CUST373,In-Store
1/26/2024,ORD1072,Pen Set,Stationery,3,5,15,CUST341,In-Store
2/1/2024,ORD1073,Laptop,Electronics,4,800,3200,CUST145,Online
1/26/2024,ORD1074,Desk Chair,Furniture,1,150,150,CUST122,In-Store
1/21/2024,ORD1075,Headphones,Electronics,4,100,400,CUST158,In-Store
2/13/2024,ORD1076,Notebook,Stationery,1,10,10,CUST403,Online
2/18/2024,ORD1077,Office Desk,Furniture,1,300,300,CUST207,In-Store
1/10/2024,ORD1078,Notebook,Stationery,4,10,40,CUST257,Online
2/26/2024,ORD1079,Desk Chair,Furniture,1,150,150,CUST443,In-Store
1/1/2024,ORD1080,Coffee Maker,Appliances,3,120,360,CUST478,In-Store
1/18/2024,ORD1081,Pen Set,Stationery,1,5,5,CUST190,Online
2/13/2024,ORD1082,Smartphone,Electronics,2,600,1200,CUST130,Online
2/9/2024,ORD1083,Wrist Watch,Accessories,5,200,1000,CUST307,In-Store
1/15/2024,ORD1084,Coffee Maker,Appliances,3,120,360,CUST400,Online
2/17/2024,ORD1085,Headphones,Electronics,5,100,500,CUST409,Online
2/27/2024,ORD1086,Wrist Watch,Accessories,2,200,400,CUST481,Online
1/30/2024,ORD1087,Coffee Maker,Appliances,1,120,120,CUST283,In-Store
2/16/2024,ORD1088,Headphones,Electronics,3,100,300,CUST148,Online
2/1/2024,ORD1089,Smartphone,Electronics,2,600,1200,CUST417,In-Store
2/21/2024,ORD1090,Pen Set,Stationery,5,5,25,CUST101,In-Store
1/12/2024,ORD1091,Coffee Maker,Appliances,5,120,600,CUST271,In-Store
1/28/2024,ORD1092,Backpack,Accessories,3,50,150,CUST336,Online
1/29/2024,ORD1093,Laptop,Electronics,1,800,800,CUST376,Online
1/29/2024,ORD1094,Laptop,Electronics,3,800,2400,CUST279,In-Store
2/22/2024,ORD1095,Smartphone,Electronics,4,600,2400,CUST332,Online
2/9/2024,ORD1096,Coffee Maker,Appliances,4,120,480,CUST249,In-Store
2/10/2024,ORD1097,Smartphone,Electronics,5,600,3000,CUST255,Online
2/11/2024,ORD1098,Coffee Maker,Appliances,2,120,240,CUST433,Online
1/21/2024,ORD1099,Office Desk,Furniture,3,300,900,CUST348,In-Store
